,Unnamed: 0,name,product_id,categories,image_url,url,brand,price,compare_at_price
72,72,Yellow Delicate Fruit Garden Organic Cotton Mini Dress,7418270318685,'DRESSES',https://farmrio.com/cdn/shop/files/321336_01.jpg?v=1713483023&width=400,https://farmrio.com/cdn/shop/files/321336_01.jpg?v=1713483023&width=400,FARM Rio,"Rs.66,000.00","Rs.66,000.00"
78,78,Yellow Delicate Fruit Garden Smocked Maxi Dress,7418268909661,'DRESSES',https://farmrio.com/cdn/shop/files/321903_02.jpg?v=1713851728&width=400,https://farmrio.com/cdn/shop/files/321903_02.jpg?v=1713851728&width=400,FARM Rio,"Rs.85,500.00","Rs.85,500.00"
84,84,Orange Fresh Macaws Midi Dress,7418309476445,'DRESSES',https://farmrio.com/cdn/shop/files/321361_03.jpg?v=1713474685&width=400,https://farmrio.com/cdn/shop/files/321361_03.jpg?v=1713474685&width=400,FARM Rio,"Rs.83,200.00","Rs.83,200.00"
90,90,Bicolor Sleeveless Organic Cotton Midi Dress,7418283950173,'DRESSES',https://farmrio.com/cdn/shop/files/327016_01.jpg?v=1713473570&width=400,https://farmrio.com/cdn/shop/files/327016_01.jpg?v=1713473570&width=400,FARM Rio,"Rs.80,300.00","Rs.80,300.00"
96,96,Red Summer Foliage Mini Dress,7418306035805,'DRESSES',https://farmrio.com/cdn/shop/files/321315_01_ed630f58-09e3-4d30-9547-216bb08d393a.jpg?v=1713474520&width=400,https://farmrio.com/cdn/shop/files/321315_01_ed630f58-09e3-4d30-9547-216bb08d393a.jpg?v=1713474520&width=400,FARM Rio,"Rs.54,500.00","Rs.54,500.00"
102,102,Red Summer Foliage Organic Cotton Mini T-Shirt Dress,7418307280989,'DRESSES',https://farmrio.com/cdn/shop/files/321550_01.jpg?v=1713851437&width=400,https://farmrio.com/cdn/shop/files/321550_01.jpg?v=1713851437&width=400,FARM Rio,"Rs.40,200.00","Rs.40,200.00"
108,108,Summer Mix Mini Dress,7418291093597,'DRESSES',https://farmrio.com/cdn/shop/files/321474_01.jpg?v=1713473899&width=400,https://farmrio.com/cdn/shop/files/321474_01.jpg?v=1713473899&width=400,FARM Rio,"Rs.54,500.00","Rs.54,500.00"
114,114,Stamp Mix Long Sleeve Maxi Dress,7418178240605,'DRESSES',https://farmrio.com/cdn/shop/files/321904_01_3fb68d94-30d8-4ea8-852e-15aa5079f5d6.jpg?v=1713488178&width=400,https://farmrio.com/cdn/shop/files/321904_01_3fb68d94-30d8-4ea8-852e-15aa5079f5d6.jpg?v=1713488178&width=400,FARM Rio,"Rs.83,200.00","Rs.83,200.00"
120,120,Off-White Tropical Destination Midi Dress,7418251444317,'DRESSES',https://farmrio.com/cdn/shop/files/321375_01.jpg?v=1713489964&width=400,https://farmrio.com/cdn/shop/files/321375_01.jpg?v=1713489964&width=400,FARM Rio,"Rs.74,600.00","Rs.74,600.00"
126,126,Off-White Tropical Destination Kimono Sleeve Midi Dress,7418197049437,'DRESSES',https://farmrio.com/cdn/shop/files/321424_01_87c41242-fe3b-4be7-9ecb-c540c09d37b4.jpg?v=1713486349&width=400,https://farmrio.com/cdn/shop/files/321424_01_87c41242-fe3b-4be7-9ecb-c540c09d37b4.jpg?v=1713486349&width=400,FARM Rio,"Rs.91,800.00","Rs.91,800.00"
132,132,Red Jaipur Crossover Maxi Dress,7418250920029,'DRESSES',https://farmrio.com/cdn/shop/files/321142_01.jpg?v=1713851830&width=400,https://farmrio.com/cdn/shop/files/321142_01.jpg?v=1713851830&width=400,FARM Rio,"Rs.77,500.00","Rs.77,500.00"
